Airport Name,City,IATA
Hartsfield Jackson Atlanta International,Atlanta,ATL
Chicago Oâ€™Hare International,Chicago,ORD
Los Angeles International,Los Angeles,LAX
Dallas Fort Worth International,Dallas-Fort Worth,DFW
Denver International,Denver,DEN
John F Kennedy International,New York,JFK
San Francisco International,San Francisco,SFO
Charlotte Douglas International,Charlotte,CLT
McCarran International,Las Vegas,LAS
Phoenix Sky Harbor International,Phoenix,PHX
George Bush Intercontinental Houston,Houston,IAH
Miami International,Miami,MIA
Orlando International,Orlando,MCO
Newark Liberty International,Newark,EWR
Seattle Tacoma International,Seattle,SEA
Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,MSP
Detroit Metropolitan Wayne County,Detroit,DTW
Philadelphia International,Philadelphia,PHL
General Edward Lawrence Logan International,Boston,BOS
La Guardia,New York,LGA
Fort Lauderdale Hollywood International,Fort Lauderdale,FLL
Baltimore/Washington International Thurgood Marshall,Baltimore,BWI
Washington Dulles International,Washington,IAD
Salt Lake City International,Salt Lake City,SLC
Ronald Reagan Washington National,Washington,DCA
Chicago Midway International,Chicago,MDW
Honolulu International,Honolulu,HNL
San Diego International,San Diego,SAN
Tampa International,Tampa,TPA
Cleveland Hopkins International,Cleveland,CLE
Portland International,Portland,PDX
Lambert St Louis International,St Louis,STL
William P Hobby,Houston,HOU
Metropolitan Oakland International,Oakland,OAK
Kansas City International,Kansas City,MCI
Nashville International,Nashville,BNA
Austin Bergstrom International,Austin,AUS
Raleigh Durham International,Raleigh/Durham,RDU
Sacramento International,Sacramento,SMF
John Wayne-Orange County,Santa Ana,SNA
